'NR_ZAWODOW','NR_ZAWODNIKA','REZULTAT_MIN','REZULTAT_SEK','POZYCJA','PUNKTY_GLOBALNE','PUNKTY_KATEGORII','POZYCJA_KATEGORIA','POZYCJA_GLOBALNIE','LOKATA_W_BIEGU'
1,541,40,7,1,3,34,17,48,48
1,542,52,38,1,,45,6,,178
1,557,43,57,1,,25,26,,95
1,577,36,0,1,36,50,1,15,15
1,584,51,51,1,,50,1,,172
1,585,45,58,1,,29,22,,118
1,596,49,10,1,,48,3,,154
1,598,41,7,1,,45,6,,58
1,601,50,27,1,,11,40,,162
1,616,33,38,1,43,50,1,8,8
1,621,43,28,2,,34,17,,88
1,622,43,8,1,,36,15,,82
1,636,39,11,1,7,33,18,44,44
1,643,47,59,1,,23,28,,140
1,645,38,49,1,11,49,2,40,40
1,648,52,22,1,,18,33,,174
1,651,47,3,1,,26,25,,133
1,655,40,40,1,,31,20,,56
1,656,50,50,1,,20,31,,166
1,660,42,55,1,,48,3,,79
1,663,37,34,1,24,46,5,27,27
1,664,47,30,1,,11,40,,137
1,668,43,29,1,,33,18,,89
1,671,55,17,1,,43,8,,192
1,681,44,58,2,,30,21,,106
1,700,46,30,1,,28,23,,125
1,702,40,21,1,,32,19,,52
1,716,37,41,1,22,38,13,29,29
1,724,38,6,1,18,37,14,33,33
1,726,41,11,1,,30,21,,59
1,727,36,29,1,35,48,3,16,16
1,728,42,7,1,,43,8,,68
1,733,45,11,1,,18,33,,109
1,742,41,13,1,,29,22,,60
1,751,35,30,1,40,43,8,11,11
1,752,37,35,1,23,42,9,28,28
1,776,48,28,1,,21,30,,146
1,780,55,50,1,,15,36,,197
1,788,33,37,2,44,45,6,7,7
1,794,40,18,1,,42,9,,51
1,802,42,37,1,,39,12,,75
1,806,37,10,1,29,40,11,22,22
1,808,43,31,1,,36,15,,90
1,827,40,11,1,2,49,2,49,49
1,828,38,15,1,16,39,12,35,35
1,840,33,37,1,45,46,5,6,6
1,844,45,18,1,,23,28,,110
1,845,43,20,1,,38,13,,84
1,858,48,20,1,,10,41,,144
1,862,48,53,1,,8,43,,152
1,871,44,24,2,,33,18,,99
1,874,41,58,2,,27,24,,66
1,881,43,23,1,,22,29,,85
1,886,47,11,1,,13,38,,135
1,889,43,51,1,,21,30,,93
1,920,60,58,1,,9,42,,212
1,936,42,9,1,,26,25,,70
1,969,37,44,1,21,41,10,30,30
2,4,68,20,1,23,46,5,28,28
2,6,73,46,1,21,44,7,30,30
2,10,62,38,1,29,46,5,22,22
2,18,64,21,1,25,44,7,26,26
2,19,64,41,1,24,46,5,27,27
2,24,58,54,1,34,48,3,17,17
2,25,71,25,1,22,45,6,29,29
2,26,74,31,1,20,43,8,31,31
2,31,49,41,1,47,49,2,4,4
2,33,60,24,1,32,47,4,19,19
2,34,54,33,1,41,48,3,10,10
2,38,56,34,1,37,46,5,14,14
2,40,63,12,1,27,48,3,24,24
2,41,54,57,1,40,50,1,11,11
2,42,55,22,1,38,47,4,13,13
2,45,58,50,1,35,49,2,16,16
2,47,63,40,1,26,47,4,25,25
2,49,50,1,1,46,49,2,5,5
2,51,49,16,1,48,50,1,3,3
2,52,54,15,1,42,48,3,9,9
2,54,60,52,1,31,46,5,20,20
2,60,44,46,1,50,50,1,1,1
2,66,62,45,1,28,45,6,23,23
2,72,55,16,1,39,47,4,12,12
2,73,51,28,1,44,50,1,7,7
2,77,59,23,1,33,47,4,18,18
2,93,58,16,2,36,45,6,15,15
2,98,51,8,1,45,48,3,6,6
2,118,53,11,1,43,49,2,8,8
2,173,46,16,1,49,50,1,2,2
2,182,61,3,1,30,49,2,21,21
2,217,52,44,1,,17,34,,111
2,218,43,7,1,24,40,11,27,27
2,221,41,42,1,33,46,5,18,18
2,222,43,22,1,22,45,6,29,29
2,224,37,55,1,50,50,1,1,1
2,225,50,17,1,,32,19,,93
2,227,49,48,1,,22,29,,87
2,235,42,23,1,28,42,9,23,23
2,240,45,55,1,,43,8,,57
2,241,48,44,1,,47,4,,70
2,242,51,45,1,,19,32,,107
2,243,44,51,1,7,40,11,44,44
2,244,45,21,1,,35,16,,51
2,245,53,42,1,,27,24,,117
2,248,53,52,1,,16,35,,119
2,252,45,1,1,3,36,15,48,48
2,253,48,47,1,,40,11,,72
2,254,51,36,1,,31,20,,105
2,260,40,0,1,42,49,2,9,9
2,265,48,41,1,,34,17,,69
2,269,50,45,1,,49,2,,96
2,272,59,37,1,,22,29,,140
2,280,61,18,1,,17,34,,145
2,289,48,56,1,,39,12,,75
2,290,45,26,1,,37,14,,52
2,295,45,7,1,1,38,13,50,50
2,297,55,36,1,,14,37,,125
2,298,39,38,1,44,49,2,7,7
2,299,48,8,1,,35,16,,67
2,303,41,59,1,30,45,6,21,21
2,304,44,17,1,14,42,9,37,37
2,309,44,28,1,13,41,10,38,38
2,311,67,1,1,,15,36,,153
2,318,55,42,1,,13,38,,126
2,319,49,43,2,,23,28,,85
2,326,47,30,1,,41,10,,64
2,330,50,35,1,,26,25,,95
2,331,49,58,1,,27,24,,88
2,332,41,22,1,35,47,4,16,16
2,333,38,27,1,47,50,1,4,4
2,335,58,16,1,,19,32,,135
2,336,44,48,1,8,48,3,43,43
2,338,38,46,1,46,48,3,5,5
2,346,63,20,1,,10,41,,150
2,347,55,50,1,,26,25,,127
2,349,46,27,1,,32,19,,60
2,355,45,34,1,,34,17,,53
2,359,43,38,1,20,47,4,31,31
2,363,51,13,1,,33,18,,100
2,366,49,59,1,,37,14,,89
2,371,43,51,1,18,44,7,33,33
2,373,62,16,1,,16,35,,148
2,376,55,57,1,,25,26,,128
2,377,52,43,1,,25,26,,110
2,379,57,40,1,,21,30,,133
2,381,46,39,1,,36,15,,62
2,386,46,13,1,,37,14,,58
2,389,45,35,1,,36,15,,54
2,392,44,51,2,6,39,12,45,45
2,394,41,56,1,31,46,5,20,20
2,398,44,39,1,9,45,6,42,42
2,406,59,2,1,,20,31,,139
2,407,60,19,1,,19,32,,141
2,410,49,33,1,,24,27,,82
2,413,43,59,1,16,42,9,35,35
2,414,49,45,1,,28,23,,86
2,416,49,42,1,,30,21,,83
2,420,46,32,1,,34,17,,61
2,421,53,2,1,,27,24,,115
2,422,67,49,1,,9,42,,155
2,423,42,56,1,26,49,2,25,25
2,425,65,32,1,,21,30,,152
2,426,43,25,1,21,39,12,30,30
2,427,47,0,1,,42,9,,63
2,428,52,29,1,,29,22,,109
2,429,51,9,1,,29,22,,99
2,430,53,44,1,,26,25,,118
2,446,49,16,2,,38,13,,79
2,452,77,49,1,,39,12,,159
2,455,61,4,1,,45,6,,143
2,458,46,19,1,,33,18,,59
2,463,44,31,1,12,38,13,39,39
2,469,48,46,1,,50,1,,71
2,471,67,27,1,,40,11,,154
2,485,58,58,1,,21,30,,137
2,488,61,8,1,,44,7,,144
2,489,57,30,1,,47,4,,132
2,491,56,19,1,,24,27,,129
2,498,47,55,1,,31,20,,66
2,499,69,2,1,,50,1,,156
2,503,103,4,1,,50,1,,160
2,505,49,43,1,,29,22,,84
2,531,39,53,1,43,46,5,8,8
2,535,54,39,1,,23,28,,123
2,536,51,24,1,,32,19,,102
2,538,50,24,1,,34,17,,94
2,542,61,45,1,,43,8,,147
2,553,56,40,1,,23,28,,130
2,577,40,8,1,41,50,1,10,10
2,589,41,16,1,36,47,4,15,15
2,596,59,0,1,,46,5,,138
2,598,44,37,1,10,46,5,41,41
2,616,38,16,1,48,50,1,3,3
2,621,51,0,1,,30,21,,98
2,645,43,10,1,23,48,3,28,28
2,648,53,59,1,,25,26,,120
2,652,48,21,1,,32,19,,68
2,655,48,54,1,,30,21,,74
2,660,43,44,1,19,49,2,32,32
2,663,40,59,1,37,48,3,14,14
2,668,45,49,1,,38,13,,56
2,671,63,32,1,,41,10,,151
2,681,51,31,1,,28,23,,103
2,699,51,33,1,,20,31,,104
2,702,43,2,1,25,41,10,26,26
2,716,40,34,1,39,45,6,12,12
2,724,41,46,1,32,43,8,19,19
2,726,49,30,1,,25,26,,81
2,727,42,46,1,27,43,8,24,24
2,728,45,3,1,2,44,7,49,49
2,742,45,41,1,,35,16,,55
2,751,39,13,1,45,47,4,6,6
2,752,47,36,1,,33,18,,65
2,757,41,29,1,34,44,7,17,17
2,763,51,15,1,,21,30,,101
2,765,61,36,1,,11,40,,146
4,16,63,34,1,19,47,4,32,32
4,18,60,52,1,24,44,7,27,27
4,19,61,7,1,23,46,5,28,28
4,24,48,51,1,39,49,2,12,12
4,25,71,2,1,17,45,6,34,34
4,34,54,36,1,35,46,5,16,16
4,40,47,38,1,42,47,4,9,9
4,41,48,44,1,40,50,1,11,11
4,42,49,24,1,38,47,4,13,13
4,43,46,21,1,44,49,2,7,7
4,45,55,14,1,32,48,3,19,19
4,47,63,3,1,20,38,13,31,31
4,52,45,37,1,45,50,1,6,6
4,60,39,1,1,48,50,1,3,3
4,65,34,51,1,50,50,1,1,1
4,67,56,36,1,28,48,3,23,23
4,75,51,3,1,37,49,2,14,14
4,77,55,16,1,31,47,4,20,20
4,84,38,46,1,49,49,2,2,2
4,85,55,9,1,33,45,6,18,18
4,97,58,17,1,26,41,10,25,25
4,101,61,8,1,22,39,12,29,29
4,102,56,9,1,29,43,8,22,22
4,103,65,17,1,18,46,5,33,33
4,131,51,21,1,36,45,6,15,15
4,137,61,30,1,21,48,3,30,30
4,140,48,25,1,41,46,5,10,10
4,145,43,37,1,46,48,3,5,5
4,163,54,55,1,34,49,2,17,17
4,173,41,6,1,47,50,1,4,4
4,182,59,17,1,25,40,11,26,26
4,209,53,57,1,,24,27,,142
4,214,36,27,1,32,44,7,19,19
4,217,42,27,1,,25,26,,63
4,218,40,22,1,7,36,15,44,44
4,221,38,5,1,21,38,13,30,30
4,222,38,3,1,22,46,5,29,29
4,224,33,0,1,48,48,3,3,3
4,229,56,31,1,,,,,151
4,235,36,20,1,33,43,8,18,18
4,237,38,44,1,15,39,12,36,36
4,239,38,40,1,17,35,16,34,34
4,241,49,18,1,,44,7,,123
4,248,43,47,1,,23,28,,75
4,253,40,42,1,,46,5,,51
4,254,44,26,1,,40,11,,84
4,260,34,48,1,43,49,2,8,8
4,261,46,57,1,,45,6,,111
4,263,36,1,1,37,46,5,14,14
4,264,33,32,1,47,47,4,4,4
4,265,44,29,1,,35,16,,85
4,272,55,43,1,,22,29,,148
4,274,44,0,1,,21,30,,79
4,275,35,21,1,42,48,3,9,9
4,289,42,26,1,,44,7,,62
4,290,38,7,1,20,37,14,31,31
4,295,37,33,1,28,42,9,23,23
4,298,36,16,1,34,48,3,17,17
4,302,46,17,1,,35,16,,104
4,304,43,2,1,,38,13,,69
4,305,35,58,1,38,49,2,13,13
4,306,40,53,1,,28,23,,55
4,309,40,44,1,,41,10,,52
4,313,43,55,1,,36,15,,77
4,330,41,43,1,,32,19,,59
4,332,37,22,1,29,47,4,22,22
4,333,34,14,1,45,50,1,6,6
4,335,49,10,1,,23,28,,122
4,338,35,35,1,40,45,6,11,11
4,348,46,2,1,,29,22,,102
4,355,40,35,1,1,34,17,50,50
4,359,40,0,1,10,47,4,41,41
4,366,44,50,2,,38,13,,89
4,371,40,19,1,8,43,8,43,43
4,372,49,7,1,,24,27,,121
4,373,57,2,1,,26,25,,153
4,374,52,8,1,,20,31,,136
4,375,46,13,1,,36,15,,103
4,377,51,53,1,,21,30,,134
4,381,40,22,2,6,42,9,45,45
4,394,42,1,1,,40,11,,60
4,395,42,59,1,,43,8,,68
4,405,43,52,1,,41,10,,76
4,413,42,5,1,,26,25,,61
4,416,47,43,1,,26,25,,115
4,420,45,8,1,,16,35,,94
4,423,39,48,1,12,48,3,39,39
4,426,37,54,1,26,41,10,25,25
4,440,40,47,1,,30,21,,53
4,451,46,22,1,,12,39,,106
4,455,55,54,1,,48,3,,149
4,460,39,58,1,11,37,14,40,40
4,461,47,22,1,,28,23,,113
4,467,45,50,1,,30,21,,101
4,471,62,47,1,,47,4,,156
4,489,53,12,1,,50,1,,139
4,503,86,43,1,,50,1,,162
4,530,48,37,1,,6,45,,118
4,542,54,12,1,,49,2,,145
4,544,45,12,1,,15,36,,95
4,577,35,56,1,39,50,1,12,12
4,588,37,43,1,27,41,10,24,24
4,589,37,19,1,30,43,8,21,21
4,597,44,39,1,,39,12,,87
4,598,41,35,1,,45,6,,58
4,603,51,13,1,,2,49,,132
4,604,49,2,1,,25,26,,120
4,605,45,2,1,,33,18,,91
4,616,34,41,1,44,50,1,7,7
4,618,44,22,1,,29,22,,83
4,619,43,11,1,,24,27,,70
4,621,45,17,1,,32,19,,96
4,624,54,12,2,,23,28,,146
4,637,52,47,1,,19,32,,138
4,640,43,41,1,,31,20,,73
4,642,39,12,1,13,38,13,38,38
4,644,31,59,1,50,50,1,1,1
4,645,38,37,1,18,49,2,33,33
4,647,44,50,1,,17,34,,88
4,648,46,33,1,,34,17,,109
4,655,37,54,2,25,40,11,26,26
4,660,44,17,1,,47,4,,82
4,663,39,7,1,14,45,6,37,37
4,668,43,36,1,,37,14,,72
4,676,73,8,1,,23,28,,161
4,677,46,26,1,,11,40,,107
4,678,45,4,1,,28,23,,92
4,680,51,26,1,,29,22,,133
4,681,42,46,1,,39,12,,65
4,682,48,40,1,,5,46,,119
4,697,53,35,1,,,,,141
4,700,49,34,1,,27,24,,124
4,701,47,48,1,,32,19,,117
4,704,50,34,1,,30,21,,128
4,705,47,44,1,,33,18,,116
4,706,56,32,1,,27,24,,152
4,707,45,19,1,,14,37,,97
4,708,52,29,1,,1,50,,137
4,709,44,14,1,,20,31,,80
4,710,51,4,1,,3,48,,130
4,711,43,56,1,,22,29,,78
4,712,42,56,2,,48,3,,67
4,713,46,20,1,,46,5,,105
4,714,50,24,1,,26,25,,127
4,715,71,30,1,,,,,160
4,716,36,3,1,36,44,7,15,15
4,717,49,57,1,,22,29,,125
4,718,69,39,1,,24,27,,159
4,721,52,0,1,,43,8,,135
4,722,44,16,1,,19,32,,81
4,724,36,56,1,31,42,9,20,20
4,726,41,4,1,,27,24,,57
4,727,36,14,1,35,45,6,16,16
4,728,45,23,1,,37,14,,98
4,733,65,0,1,,,,,157
4,738,65,0,2,,,,,158
4,746,50,39,1,,4,47,,129
4,762,40,25,1,5,33,18,46,46
4,768,53,12,2,,,,,140
4,776,45,34,1,,31,20,,100
4,780,57,37,1,,25,26,,154
4,788,33,41,1,46,46,5,5,5
4,789,35,22,1,41,47,4,10,10
4,794,40,15,1,9,44,7,42,42
4,810,50,10,1,,31,20,,126
4,827,42,56,1,,49,2,,66
4,828,38,32,1,19,36,15,32,32
4,840,32,35,1,49,49,2,2,2
4,843,44,56,1,,34,17,,90
4,844,43,42,1,,30,21,,74
4,845,43,24,1,,42,9,,71
4,846,45,7,1,,27,24,,93
4,847,42,42,1,,50,1,,64
4,848,54,2,1,,,,,143
4,849,40,34,1,2,35,16,49,49
4,850,62,7,1,,,,,155
4,851,54,42,1,,,,,147
4,853,56,4,1,,18,33,,150
4,855,46,32,1,,10,41,,108
4,856,40,55,1,,33,18,,56
4,857,44,30,1,,18,33,,86
4,858,46,43,1,,9,42,,110
4,859,40,28,1,4,32,19,47,47
4,862,47,17,1,,8,43,,112
4,870,51,11,1,,25,26,,131
4,881,40,30,1,3,31,20,48,48
4,889,40,48,1,,29,22,,54
4,899,45,27,1,,13,38,,99
4,917,38,0,1,23,40,11,28,28
4,920,54,9,1,,28,23,,144
4,934,38,41,1,16,34,17,35,35
4,936,47,32,1,,7,44,,114
4,969,37,58,1,24,39,12,27,27
2,775,62,22,1,,42,9,,149
2,776,50,7,1,,33,18,,91
2,794,43,57,1,17,43,8,34,34
2,808,51,40,1,,30,21,,106
2,840,38,8,1,49,49,2,2,2
2,844,54,16,1,,22,29,,122
2,845,50,13,1,,35,16,,92
2,858,55,2,1,,15,36,,124
