mpg;cylindry;moc;przysp;rok;waga;producent;marka;model;cena;legenda
43,1;4;48;21,5;78;1985;2;Volkswagen;Rabbit Dl ;2400;America=1
36,1;4;66;14,4;78;1800;1;Ford      ;Fiesta    ;1900;Europe=2
32,8;4;52;19,4;78;1985;3;Mazda     ;GLC Deluxe;2200;Japan =3
39,4;4;70;18,6;78;2070;3;Datsun    ;B210 GX   ;2725;       
36,1;4;60;16,4;78;1800;3;Honda     ;Civic CVCC;2250;       
19,9;8;110;15,5;78;3365;1;Oldsmobile;Cutlass   ;3300;       
19,4;8;140;13,2;78;3735;1;Dodge     ;Diplomat  ;3125;       
20,2;8;139;12,8;78;3570;1;Mercury   ;Monarch   ;2850;       
19,2;6;105;19,2;78;3535;1;Pontiac   ;Phoenix   ;2800;       
20,5;6;95;18,2;78;3155;1;Chevrolet ;Malibu    ;3275;       
20,2;6;85;15,8;78;2965;1;Ford      ;Fairmont A;2375;       
25,1;4;88;15,4;78;2720;1;Ford      ;Fairmont M;2275;       
20,5;6;100;17,2;78;3430;1;Plymouth  ;Volare    ;2700;       
19,4;6;90;17,2;78;3210;1;AMC       ;Concord   ;2300;       
20,6;6;105;15,8;78;3380;1;Buick     ;Century   ;3300;       
20,8;6;85;16,7;78;3070;1;Mercury   ;Zephyr    ;2425;       
18,6;6;110;18,7;78;3620;1;Dodge     ;Aspen     ;2700;       
18,1;6;120;15,1;78;3410;1;AMC       ;Concord D1;2425;       
19,2;8;145;13,2;78;3425;1;Chevrolet ;MonteCarlo;3900;       
17,7;6;165;13,4;78;3445;1;Buick     ;RegalTurbo;4400;       
18,1;8;139;11,2;78;3205;1;Ford      ;Futura    ;2525;       
17,5;8;140;13,7;78;4080;1;Dodge     ;Magnum XE ;3000;       
30;4;68;16,5;78;2155;1;Chevrolet ;Chevette  ;2100;       
27,5;4;95;14,2;78;2560;3;Toyota    ;Corona    ;2975;       
27,2;4;97;14,7;78;2300;3;Datsun    ;510;2775;       
30,9;4;75;14,5;78;2230;1;Dodge     ;Omni      ;2250;       
21,1;4;95;14,8;78;2515;3;Toyota    ;Celica GT ;3700;       
23,2;4;105;16,7;78;2745;1;Plymouth  ;Sapporo   ;3200;       
23,8;4;85;17,6;78;2855;1;Oldsmobile;Starfire  ;2400;       
23,9;4;97;14,9;78;2405;3;Datsun    ;200-SX    ;2975;       
20,3;5;103;15,9;78;2830;2;Audi      ;5000;4475;       
17;6;125;13,6;78;3140;2;Volvo     ;264GL     ;5875;       
21,6;4;115;15,7;78;2795;2;Saab      ;99GLE     ;4200;       
16,2;6;133;15,8;78;3410;2;Peugeot   ;604SL     ;5450;       
31,5;4;71;14,9;78;1990;2;Volkswagen;Scirocco  ;3675;       
29,5;4;68;16,6;78;2135;3;Honda     ;Accord LX ;3425;       
21,5;6;115;15,4;79;3245;1;Pontiac   ;Lemans V6 ;3925;       
19,8;6;85;18,2;79;2990;1;Mercury   ;Zephyr 6  ;3200;       
22,3;4;88;17,3;79;2890;1;Ford      ;Fairmont 4;2975;       
20,2;6;90;18,2;79;3265;1;AMC       ;ConcordDL6;3150;       
20,6;6;110;16,6;79;3360;1;Dodge     ;Aspen 6   ;3325;       
17;8;130;15,4;79;3840;1;Chevrolet ;Caprice Cl;4650;       
17,6;8;129;13,4;79;3725;1;Ford      ;LTD Landau;4850;       
16,5;8;138;13,2;79;3955;1;Mercury   ;GrandMarqs;5725;       
18,2;8;135;15,2;79;3830;1;Dodge     ;St. Regis ;4025;       
16,9;8;155;14,9;79;4360;1;Buick     ;Estate SW ;5225;       
15,5;8;142;14,3;79;4054;1;Ford      ;Country SW;4825;       
19,2;8;125;15;79;3605;1;Chevrolet ;Malibu SW ;4100;       
18,5;8;150;13;79;3940;1;Chrysler  ;Lebaron SW;4725;       
31,9;4;71;14;79;1925;2;Volkswagen;Rabbit Cus;3100;       
34,1;4;65;15,2;79;1975;3;Mazda     ;GLC Deluxe;2750;       
35,7;4;80;14,4;79;1915;1;Dodge     ;Colt Hatch;2700;       
27,4;4;80;15;79;2670;1;AMC       ;Spirit DL ;2725;       
25,4;5;77;20,1;79;3530;2;Mercedes  ;300D      ;15475;       
23;8;125;17,4;79;3900;1;Cadillac  ;Eldorado  ;9900;       
27,2;4;71;24,8;79;3190;2;Peugeot   ;504;4675;       
23,9;8;90;22,2;79;3420;1;Oldsmobile;Cutlass   ;4050;       
34,2;4;70;13,2;79;2200;1;Plymouth  ;Horizon   ;2625;       
34,5;4;70;14,9;79;2150;1;Plymouth  ;HorizonTC3;2775;       
31,8;4;65;19,2;79;2020;3;Datsun    ;210;2750;       
37,3;4;69;14,7;79;2130;2;Fiat      ;Strada Cus;2275;       
28,4;4;90;16;79;2670;1;Buick     ;SkylarkLim;3525;       
28,8;6;115;11,3;79;2595;1;Chevrolet ;Citation  ;3625;       
26,8;6;115;12,9;79;2700;1;Oldsmobile;Omega     ;3525;       
33,5;4;90;13,2;79;2556;1;Pontiac   ;Phoenix   ;3325;       
41,5;4;76;14,7;80;2144;2;Volkswagen;Rabbit    ;7000;       
38,1;4;60;18,8;80;1968;3;Toyota    ;CorollaTer;3850;       
32,1;4;70;15,5;80;2120;1;Chevrolet ;Chevette  ;2900;       
37,2;4;65;16,4;80;2019;3;Datsun    ;310;3525;       
28;4;90;16,5;80;2678;1;Chevrolet ;Citation  ;3625;       
26,4;4;88;18,1;80;2870;1;Ford      ;Fairmont  ;3525;       
24,3;4;90;20,1;80;3003;1;AMC       ;Concord   ;3625;       
19,1;6;90;18,7;80;3381;1;Dodge     ;Aspen     ;3700;       
34,3;4;78;15,8;80;2188;2;Audi      ;4000;5900;       
29,8;4;90;15,5;80;2711;3;Toyota    ;Corona LB ;5500;       
31,3;4;75;17,5;80;2542;3;Mazda     ;626;4675;       
37;4;92;15;80;2434;3;Datsun    ;510 Hatch ;4050;       
32,2;4;75;15,2;80;2265;3;Toyota    ;Corolla   ;3975;       
46,6;4;65;17,9;80;2110;3;Mazda     ;GLC       ;3350;       
27,9;4;105;14,4;80;2800;1;Dodge     ;Colt      ;3200;       
40,8;4;65;19,2;80;2110;3;Datsun    ;210;3300;       
44,3;4;48;21,7;80;2085;2;Volkswagen;Rabbit Dl ;3900;       
43,4;4;48;23,7;80;2335;2;Volkswagen;Dasher Dl ;3825;       
36,4;5;67;19,9;80;2950;2;Audi      ;5000S Dl  ;7975;       
30,4;4;67;21,8;80;3250;2;Mercedes  ;240D      ;14275;       
44,6;4;67;13,8;80;1850;3;Honda     ;Civic1500G;3925;       
40,9;4;;17,3;80;1835;2;Renault   ;LeCar Delx;2575;       
33,8;4;67;18;80;2145;3;Subaru    ;DL        ;3625;       
29,8;4;62;15,3;80;1845;2;Volkswagen;Rabbit    ;7000;       
32,7;6;132;11,4;80;2910;3;Datsun    ;280-ZX    ;8150;       
23,7;3;100;12,5;80;2420;3;Mazda     ;RX-7 GS   ;7250;       
35;4;88;15,1;80;2500;2;Triumph   ;TR7 Coupe ;5000;       
23,6;4;;14,3;80;2905;1;Ford      ;Must Cobra;4250;       
32,4;4;72;17;80;2290;3;Honda     ;Accord    ;4700;       
27,2;4;84;15,7;81;2490;1;Plymouth  ;Reliant   ;5100;       
26,6;4;84;16,4;81;2635;1;Buick     ;Skylark   ;5175;       
25,8;4;92;14,4;81;2620;1;Dodge     ;Aries SW  ;4950;       
23,5;6;110;12,6;81;2725;1;Chevrolet ;Citation  ;4550;       
30;4;84;12,9;81;2385;1;Plymouth  ;Reliant   ;4900;       
39,1;4;58;16,9;81;1755;3;Toyota    ;Starlet   ;4400;       
39;4;64;16,4;81;1875;1;Plymouth  ;Champ     ;3600;       
35,1;4;60;16,1;81;1760;3;Honda     ;Civic1300 ;4000;       
32,3;4;67;17,8;81;2065;3;Subaru    ;          ;3950;       
37;4;65;19,4;81;1975;3;Datsun    ;210;3775;       
37,7;4;62;17,3;81;2050;3;Toyota    ;Tercel    ;4475;       
34,1;4;68;16;81;1985;3;Mazda     ;GLC 4     ;3975;       
34,7;4;63;14,9;81;2215;1;Plymouth  ;Horizon 4 ;3450;       
34,4;4;65;16,2;81;2045;1;Ford      ;Escort 4W ;3850;       
29,9;4;65;20,7;81;2380;1;Ford      ;Escort 2H ;4100;       
33;4;74;14,2;81;2190;2;Volkswagen;Jetta     ;5650;       
34,5;4;;15,8;81;2320;2;Renault   ;18I       ;4600;       
33,7;4;75;14,4;81;2210;3;Honda     ;Prelude   ;5550;       
32,4;4;75;16,8;81;2350;3;Toyota    ;Corolla   ;4650;       
32,9;4;100;14,8;81;2615;3;Datsun    ;200SX     ;5825;       
31,6;4;74;18,3;81;2635;3;Mazda     ;626;5650;       
28,1;4;80;20,4;81;3230;2;Peugeot   ;505S Dl   ;8500;       
;4;110;15,4;81;2800;2;Saab      ;900S      ;8225;       
30,7;6;76;19,6;81;3160;2;Volvo     ;Diesel    ;8550;       
25,4;6;116;12,6;81;2900;3;Toyota    ;Cressida  ;9475;       
24,2;6;120;13,8;81;2930;3;Datsun    ;810 Maxima;8375;       
22,4;6;110;15,8;81;3415;1;Buick     ;Century   ;6675;       
26,6;8;105;19;81;3725;1;Oldsmobile;Cutlass LS;6875;       
20,2;6;88;17,1;81;3060;1;Ford      ;Granada GL;5450;       
17,6;6;85;16,6;81;3465;1;Chrysler  ;Lebaron   ;5625;       
28;4;88;19,6;82;2605;1;Chevrolet ;Cavalier  ;5275;       
27;4;88;18,6;82;2640;1;Chevrolet ;CavalierSW;5500;       
34;4;88;18;82;2395;1;Chevrolet ;Cavalier2D;5175;       
31;4;85;16,2;82;2575;1;Pontiac   ;1200 Hatch;5650;       
29;4;84;16;82;2525;1;Dodge     ;Aries SE  ;6250;       
27;4;90;18;82;2735;1;Pontiac   ;Phoenix   ;5650;       
24;4;92;16,4;82;2865;1;Ford      ;Fairmont  ;5225;       
23;4;;20,5;82;3035;1;AMC       ;Concord Dl;5150;       
36;4;74;15,3;82;1980;2;Volkswagen;Rabbit L  ;5200;       
37;4;68;18,2;82;2025;3;Mazda     ;GLC Cust l;4900;       
31;4;68;17,6;82;1970;3;Mazda     ;GLC Custom;5100;       
38;4;63;14,7;82;2125;1;Plymouth  ;Horizon   ;4350;       
36;4;70;17,3;82;2125;1;Mercury   ;Lynx l    ;4550;       
36;4;88;14,5;82;2160;3;Nissan    ;Stanza XE ;6350;       
36;4;75;14,5;82;2205;3;Honda     ;Accord    ;6500;       
34;4;70;16,9;82;2245;3;Toyota    ;Corolla   ;5425;       
38;4;67;15;82;1965;3;Honda     ;Civic M   ;4625;       
32;4;67;15,7;82;1965;3;Honda     ;Civic A   ;4875;       
38;4;67;16,2;82;1995;3;Datsun    ;310 GX    ;5075;       
25;6;110;16,4;82;2945;1;Buick     ;CenturyLmt;7300;       
38;6;85;17;82;3015;1;Oldsmobile;Cutlass Dl;7450;       
26;4;92;14,5;82;2585;1;Chrysler  ;Lebaron   ;6000;       
22;6;112;14,7;82;2835;1;Ford      ;Granada l ;6100;       
32;4;96;13,9;82;2665;3;Toyota    ;Celica GT ;7700;       
36;4;84;13;82;2370;1;Dodge     ;Charger2.2;5475;       
27;4;90;17,3;82;2950;1;Chevrolet ;Camaro    ;8400;       
27;4;86;15,6;82;2790;1;Ford      ;MustangGL ;5975;       
44;4;52;24,6;82;2130;2;Volkswagen;Pickup    ;5075;       
32;4;84;11,6;82;2295;1;Dodge     ;Rampage   ;5650;       
28;4;79;18,6;82;2625;1;Ford      ;Ranger    ;4925;       
31;4;82;19,4;82;2720;1;Chevrolet ;S-10      ;6050;       
